Unix Timestamp,Position,Value [kg]
1736436840.2586198,Right,27.48654
1736436840.2586198,Left,32.4873
1736436840.266697,Right,27.30344
1736436840.3715608,Left,32.9847
1736436840.3740695,Right,26.80832
1736436840.476194,Left,33.05657
1736436840.476194,Right,26.81061
1736436840.5809238,Left,33.42475
1736436840.5809238,Right,26.7926
1736436840.686289,Left,33.41355
1736436840.686289,Right,26.80963
1736436840.790873,Left,33.30868
1736436840.7933805,Right,26.79103
1736436840.8966718,Left,33.28212
1736436840.8966718,Right,26.50396
1736436841.001652,Left,32.95905
1736436841.001652,Right,26.43577
1736436841.1063924,Left,32.32496
1736436841.1063924,Right,26.73311
1736436841.2112896,Left,31.84989
1736436841.2152143,Right,27.39234
1736436841.3166258,Left,31.76487
1736436841.3196356,Right,27.77923
1736436841.420953,Left,32.14978
1736436841.420953,Right,27.12342
1736436841.5253923,Left,32.46908
1736436841.5253923,Right,26.64979
1736436841.6299412,Left,32.41518
1736436841.6330626,Right,26.83203
1736436841.7352939,Left,32.0315
1736436841.7388213,Right,27.02483
1736436841.8397808,Left,31.06835
1736436841.8397808,Right,27.19731
1736436841.9448297,Left,29.89578
1736436841.9448297,Right,27.62837
1736436842.0493994,Left,29.79065
1736436842.0523503,Right,28.41697
1736436842.1547155,Left,29.47344
1736436842.1577268,Right,29.10409
1736436842.260006,Left,28.55494
1736436842.260006,Right,29.83754
1736436842.3650932,Left,28.30816
1736436842.3650932,Right,29.58572
1736436842.4698775,Left,28.15831
1736436842.471887,Right,29.01638
1736436842.5752323,Left,28.1628
1736436842.5752323,Right,29.22961
1736436842.6800785,Left,28.34312
1736436842.6800785,Right,29.75231
1736436842.7850308,Left,28.26839
1736436842.7850308,Right,30.15251
1736436842.8894706,Left,28.76273
1736436842.8929865,Right,31.06649
1736436843.0057325,Left,29.3855
1736436843.0057325,Right,31.86826
1736436843.111866,Left,29.14132
1736436843.111866,Right,32.07625
1736436843.2178402,Left,28.16267
1736436843.2178402,Right,31.86577
