Unix Timestamp,Position,Value [kg]
1736439705.897923,Right,26.06656
1736439706.00217,Left,4.48535
1736439706.0051808,Right,25.52329
1736439706.0051808,Left,5.74229
1736439706.0051808,Right,24.92047
1736439706.1129692,Left,7.92918
1736439706.1129692,Right,23.99673
1736439706.2178025,Left,10.75726
1736439706.2178025,Right,23.10344
1736439706.324119,Left,14.68943
1736439706.324119,Right,22.73377
1736439706.427402,Left,18.60227
1736439706.4314134,Right,22.83171
1736439706.536515,Left,22.63026
1736439706.536515,Right,24.02489
1736439706.6419363,Left,26.40626
1736439706.6419363,Right,25.83911
1736439706.7462842,Left,29.29456
1736439706.7487926,Right,26.04134
1736439706.8516974,Left,30.68233
1736439706.8516974,Right,26.15886
1736439706.9560332,Left,31.0498
1736439706.9560332,Right,25.93528
1736439707.0621946,Left,32.31383
1736439707.0621946,Right,25.29892
1736439707.1661375,Left,33.23688
1736439707.1661375,Right,24.53927
1736439707.2692769,Left,33.68891
1736439707.2692769,Right,23.96273
1736439707.3742692,Left,33.62192
1736439707.3766367,Right,24.76004
1736439707.479215,Left,32.47741
1736439707.483078,Right,25.87023
1736439707.584901,Left,31.58196
1736439707.584901,Right,26.57314
1736439707.6897945,Left,31.26077
1736439707.6897945,Right,27.33613
1736439707.7949393,Left,30.73584
1736439707.797247,Right,28.45942
1736439707.900277,Left,30.77138
1736439707.9041183,Right,27.44874
1736439708.0054545,Left,32.93992
1736439708.0054545,Right,23.08366
1736439708.1109095,Left,38.21807
1736439708.1109095,Right,16.68294
1736439708.2158568,Left,44.69464
1736439708.2178643,Right,13.94694
1736439708.320816,Left,45.32164
1736439708.3243256,Right,13.50835
1736439708.4257107,Left,45.37404
1736439708.4257107,Right,13.41068
1736439708.53045,Left,43.99785
1736439708.53045,Right,15.31785
1736439708.6351972,Left,40.56047
1736439708.638226,Right,19.40367
1736439708.7399964,Left,37.21794
1736439708.7399964,Right,22.12807
1736439708.8448129,Left,36.15825
1736439708.8448129,Right,23.20865
1736439708.9511282,Left,35.71788
1736439708.9511282,Right,23.97118
1736439709.0542533,Left,34.92488
1736439709.0581663,Right,24.88765
1736439709.1594408,Left,34.3782
1736439709.1594408,Right,24.83131
1736439709.2645807,Left,34.08339
1736439709.2645807,Right,24.6547
1736439709.3720903,Left,34.25107
1736439709.3724306,Right,24.44605
1736439709.4755414,Left,35.24398
1736439709.4755414,Right,23.78218
1736439709.580602,Left,36.57135
1736439709.580602,Right,23.57445
1736439709.685161,Left,35.41668
1736439709.685161,Right,25.32709
1736439709.7898462,Left,31.90301
1736439709.7921028,Right,27.74812
1736439709.8949804,Left,28.35926
1736439709.8949804,Right,30.06865
1736439709.898989,Left,29.89507
1736439709.9069989,Right,30.20328
1736439710.0087838,Left,33.1091
1736439710.0087838,Right,26.69591
1736439710.1137624,Left,34.02181
1736439710.1137624,Right,25.4773
1736439710.2183852,Left,34.65773
1736439710.2183852,Right,25.2433
1736439710.324597,Left,32.91798
1736439710.324597,Right,26.55696
1736439710.4281716,Left,31.98744
1736439710.4311988,Right,27.61887
1736439710.533009,Left,31.63442
1736439710.533009,Right,28.06898
1736439710.6376035,Left,31.8883
1736439710.6376035,Right,27.89479
1736439710.7445207,Left,32.44883
1736439710.7465956,Right,27.44651
1736439710.8476143,Left,32.59432
1736439710.8496199,Right,26.69453
1736439710.9529357,Left,33.29052
1736439710.95645,Right,26.58448
1736439711.0577233,Left,33.33765
1736439711.0577233,Right,26.89289
1736439711.1625974,Left,32.81409
1736439711.1625974,Right,26.72532
1736439711.2672732,Left,32.91603
1736439711.2692838,Right,27.04861
1736439711.3721893,Left,32.9379
1736439711.3721893,Right,26.58179
1736439711.4767625,Left,33.40698
1736439711.4767625,Right,26.19987
1736439711.5832353,Left,33.20186
1736439711.5842283,Right,27.05758
1736439711.6872683,Left,32.51998
1736439711.6913803,Right,27.13659
1736439711.7927508,Left,32.44428
1736439711.7927508,Right,27.05418
1736439711.8975403,Left,33.05117
1736439711.8975403,Right,26.48936
1736439712.001945,Left,33.65031
1736439712.0099597,Right,25.58343
1736439712.1116424,Left,34.43171
1736439712.1156723,Right,24.98389
1736439712.2169247,Left,34.54615
1736439712.2169247,Right,25.64055
1736439712.322994,Left,33.19503
1736439712.322994,Right,26.94399
1736439712.426427,Left,32.14471
1736439712.426427,Right,27.2927
1736439712.5313237,Left,32.30673
1736439712.5313237,Right,27.21559
1736439712.6365478,Left,33.07649
1736439712.6365478,Right,26.88221
1736439712.7431092,Left,33.38602
1736439712.7431092,Right,26.3791
1736439712.8469408,Left,33.49649
1736439712.850468,Right,26.19587
1736439712.9523911,Left,33.70349
1736439712.9523911,Right,25.79162
