Unix Timestamp,Position,Value [kg]
1736440339.6231127,Right,0.32525
1736440339.725914,Left,0.05455
1736440339.725914,Right,0.57504
1736440339.8287487,Left,0.06874
1736440339.8287487,Right,0.66184
1736440339.9311004,Left,0.05696
1736440339.9311004,Right,0.79044
1736440340.0338,Left,0.04674
1736440340.0338,Right,1.07678
1736440340.136138,Left,0.0457
1736440340.136138,Right,1.32728
1736440340.238531,Left,0.05123
1736440340.238531,Right,1.56646
1736440340.3430557,Left,0.05969
1736440340.3430557,Right,1.75349
1736440340.444997,Left,0.07017
1736440340.444997,Right,1.77773
1736440340.547495,Left,0.07681
1736440340.547495,Right,1.71038
1736440340.6504552,Left,0.06998
1736440340.6504552,Right,1.5396
1736440340.7527168,Left,0.04667
1736440340.7527168,Right,1.29243
1736440340.855763,Left,0.01523
1736440340.855763,Right,0.8752
1736440340.9580202,Left,0.00436
1736440340.9580202,Right,0.1848
1736440341.060496,Left,0.00794
1736440341.060496,Right,0.10429
1736440341.162567,Left,0.01042
1736440341.162567,Right,0.09571
1736440341.2649994,Left,0.0084
1736440341.2649994,Right,0.09571
1736440341.3683898,Left,0.00846
1736440341.3683898,Right,0.09722
1736440341.4715188,Left,0.00625
1736440341.4715188,Right,0.08051
1736440341.5770025,Left,0.00117
1736440341.5770025,Right,0.02483
1736440341.67902,Left,-0.00085
1736440341.67902,Right,0.00354
1736440341.7816997,Left,0.00039
1736440341.7816997,Right,0.00052
1736440341.8848338,Left,0.00026
1736440341.8848338,Right,-0.00072
1736440341.9879255,Left,0.00013
1736440341.9879255,Right,-0.00249
1736440342.090299,Left,-0.0002
1736440342.0921662,Right,-0.00367
1736440342.1934855,Left,-0.00039
1736440342.1934855,Right,-0.00262
1736440342.2965033,Left,0.00169
1736440342.2985346,Right,-0.00216
1736440342.3990445,Left,0.00039
1736440342.3990445,Right,-0.00373
1736440342.501502,Left,-0.0002
1736440342.501502,Right,-0.00249
1736440342.6040964,Left,0.00195
1736440342.6051,Right,-0.00472
1736440342.707622,Left,0.00072
1736440342.7101295,Right,-0.00819
