Unix Timestamp,Position,Value [kg]
1736440792.0660856,Right,57.75238
1736440792.168779,Left,0.00111
1736440792.168779,Right,62.28267
1736440792.2714205,Left,0.00039
1736440792.2714205,Right,67.23243
1736440792.3742397,Left,0.00085
1736440792.376262,Right,72.60662
1736440792.4781973,Left,-0.00098
1736440792.4781973,Right,77.23014
1736440792.5807588,Left,0.00091
1736440792.5807588,Right,79.78919
1736440792.6836214,Left,-0.00104
1736440792.6836214,Right,82.90502
1736440792.7861311,Left,-0.00189
1736440792.7861311,Right,85.90593
1736440792.8895109,Left,-0.00202
1736440792.8895109,Right,89.34471
1736440792.9923542,Left,-0.00286
1736440792.9923542,Right,91.513
1736440793.0951166,Left,-0.00352
1736440793.0951166,Right,93.99201
1736440793.1976745,Left,-0.00319
1736440793.1976745,Right,97.37491
1736440793.3006804,Left,-0.00293
1736440793.3006804,Right,97.85404
1736440793.4031434,Left,-0.00176
1736440793.4031434,Right,97.60328
1736440793.505956,Left,-0.00234
1736440793.505956,Right,97.48248
1736440793.609152,Left,-0.00273
1736440793.609152,Right,97.55231
1736440793.7130961,Left,-0.00143
1736440793.7130961,Right,96.02431
1736440793.8170612,Left,-0.00143
1736440793.8190658,Right,95.3227
1736440793.9200232,Left,0.38804
1736440793.9200232,Right,92.24822
1736440794.023513,Left,2.49629
1736440794.0250192,Right,91.29794
1736440794.1265802,Left,6.42149
1736440794.1265802,Right,89.38362
1736440794.2296607,Left,10.98906
1736440794.2296607,Right,85.8359
1736440794.3322604,Left,14.63345
1736440794.3322604,Right,82.48084
1736440794.4342637,Left,15.75576
1736440794.4342637,Right,79.76417
1736440794.5362551,Left,17.18409
1736440794.5362551,Right,78.12715
1736440794.639982,Left,18.85744
1736440794.639982,Right,77.82077
1736440794.7428994,Left,20.26911
1736440794.7428994,Right,77.40282
1736440794.8467538,Left,20.4254
1736440794.8467538,Right,77.20688
1736440794.9493787,Left,19.27985
1736440794.9493787,Right,78.49309
1736440795.0518308,Left,18.91785
1736440795.0518308,Right,80.06866
1736440795.1556692,Left,18.85171
1736440795.15733,Right,79.44671
1736440795.2578127,Left,20.09882
1736440795.2578127,Right,77.82608
1736440795.3600855,Left,24.40333
1736440795.362144,Right,74.27841
1736440795.4631805,Left,30.14855
1736440795.4631805,Right,69.51366
1736440795.5663795,Left,35.59543
1736440795.5663795,Right,64.96475
1736440795.6689792,Left,40.26285
1736440795.6689792,Right,61.52696
1736440795.771758,Left,43.33036
1736440795.771758,Right,58.47173
1736440795.873798,Left,45.41726
1736440795.873798,Right,55.14307
1736440795.9776165,Left,47.52181
1736440795.9776165,Right,52.31719
1736440796.0803611,Left,51.53196
1736440796.081883,Right,50.49499
1736440796.1830318,Left,53.48841
1736440796.1830318,Right,48.92335
1736440796.285655,Left,54.86968
1736440796.2884493,Right,46.65411
1736440796.3891106,Left,54.87625
1736440796.3891106,Right,45.3814
1736440796.4924831,Left,54.28993
1736440796.4935088,Right,46.22149
1736440796.5952315,Left,55.77536
1736440796.5952315,Right,46.12525
1736440796.6981697,Left,56.55754
1736440796.6981697,Right,48.34078
1736440796.8004541,Left,55.60741
1736440796.8004541,Right,52.15847
1736440796.9031162,Left,53.79111
1736440796.9031162,Right,54.33718
1736440797.0055501,Left,51.52656
1736440797.0055501,Right,54.78841
1736440797.1078615,Left,52.18748
1736440797.1078615,Right,54.06728
1736440797.2114582,Left,54.46055
1736440797.2129781,Right,52.10881
1736440797.3139348,Left,56.39305
1736440797.3139348,Right,49.6847
1736440797.4169343,Left,59.22302
1736440797.418454,Right,47.20033
1736440797.5195975,Left,62.62453
1736440797.5195975,Right,43.98604
1736440797.6224244,Left,65.02695
1736440797.6224244,Right,38.54346
1736440797.7245207,Left,65.87606
1736440797.7245207,Right,37.48981
1736440797.8271062,Left,67.10923
1736440797.8271062,Right,35.84572
1736440797.931729,Left,68.41564
1736440797.931729,Right,34.64002
1736440798.0341163,Left,68.80563
1736440798.0341163,Right,35.02293
1736440798.136717,Left,67.83954
1736440798.136717,Right,35.73122
1736440798.2394006,Left,67.19542
1736440798.2394006,Right,35.66531
1736440798.3416264,Left,67.52461
1736440798.3416264,Right,34.94078
1736440798.4439392,Left,68.02578
1736440798.4439392,Right,34.18657
1736440798.5466595,Left,68.52819
1736440798.5466595,Right,33.68739
1736440798.6499567,Left,68.85178
1736440798.6499567,Right,33.98971
1736440798.7526965,Left,70.34514
1736440798.7526965,Right,33.10881
1736440798.8557174,Left,72.62101
1736440798.8557174,Right,29.78578
1736440798.9582465,Left,73.90483
1736440798.9582465,Right,30.35218
1736440799.0607588,Left,72.3219
1736440799.0607588,Right,33.97013
1736440799.163584,Left,68.30888
1736440799.1647768,Right,40.71464
1736440799.2671516,Left,63.4364
1736440799.2671516,Right,47.66682
