Unix Timestamp,Position,Value [kg]
1736440104.904483,Left,41.00202
1736440104.904483,Right,37.6093
1736440105.0067086,Left,40.98307
1736440105.0067086,Right,37.85247
1736440105.1090496,Left,40.75602
1736440105.1090496,Right,38.01513
1736440105.2130542,Left,40.66931
1736440105.219593,Right,38.07455
1736440105.3213623,Left,40.52389
1736440105.3213623,Right,38.25057
1736440105.423281,Left,40.50827
1736440105.423281,Right,38.59574
1736440105.525409,Left,40.48106
1736440105.525409,Right,38.65313
1736440105.6280243,Left,40.98561
1736440105.6295297,Right,37.92499
1736440105.7304392,Left,42.16619
1736440105.7304392,Right,37.0733
1736440105.8324597,Left,42.14705
1736440105.8341403,Right,36.08267
1736440105.9357355,Left,40.78609
1736440105.9357355,Right,35.41553
1736440106.0390453,Left,40.78479
1736440106.0390453,Right,34.58113
1736440106.14124,Left,43.83068
1736440106.14124,Right,31.84435
1736440106.244486,Left,43.62049
1736440106.244486,Right,31.22496
1736440106.3470533,Left,41.4653
1736440106.3470533,Right,32.72656
1736440106.4498248,Left,40.54811
1736440106.4498248,Right,34.48516
1736440106.5531888,Left,39.98926
1736440106.5531888,Right,36.37255
1736440106.6555498,Left,39.65883
1736440106.6555498,Right,38.9662
1736440106.7581627,Left,39.35933
1736440106.7581627,Right,40.4752
1736440106.8607113,Left,39.35939
1736440106.8627236,Right,41.00858
1736440106.9638548,Left,40.15747
1736440106.9638548,Right,43.16954
1736440107.0663714,Left,38.75055
1736440107.0663714,Right,43.60662
1736440107.1702802,Left,38.24137
1736440107.1717882,Right,42.33148
1736440107.2731402,Left,37.89441
1736440107.2731402,Right,42.75329
1736440107.3759575,Left,35.80686
1736440107.3759575,Right,42.68929
1736440107.4792438,Left,33.72315
1736440107.4792438,Right,43.25693
1736440107.5819056,Left,35.40021
1736440107.5819056,Right,43.48392
1736440107.6845427,Left,39.14009
1736440107.6845427,Right,44.23577
1736440107.7871842,Left,40.49909
1736440107.7871842,Right,45.9303
1736440107.8894944,Left,39.55468
1736440107.8894944,Right,46.92787
1736440107.9918225,Left,38.98503
1736440107.9918225,Right,48.34071
1736440108.094625,Left,38.48418
1736440108.094625,Right,49.47212
1736440108.1970317,Left,37.66183
1736440108.1970317,Right,48.50875
1736440108.2997847,Left,36.74287
1736440108.2997847,Right,46.67573
1736440108.4018226,Left,36.22653
1736440108.4038293,Right,45.11615
1736440108.5050592,Left,36.29573
1736440108.5050592,Right,43.91955
1736440108.607422,Left,36.68806
1736440108.607422,Right,41.79594
1736440108.7107182,Left,36.24658
1736440108.7117221,Right,38.0247
1736440108.8140533,Left,35.19834
1736440108.8140533,Right,37.56934
1736440108.917214,Left,34.35373
1736440108.917214,Right,37.25195
1736440109.020138,Left,35.18474
1736440109.0225937,Right,36.36476
1736440109.1231694,Left,37.51621
1736440109.1231694,Right,34.46525
1736440109.2260613,Left,41.11392
1736440109.2270796,Right,32.73921
1736440109.3292856,Left,43.2072
1736440109.3292856,Right,32.68745
1736440109.432573,Left,43.0897
1736440109.432573,Right,34.48051
1736440109.5348902,Left,41.02428
1736440109.5367978,Right,36.71483
1736440109.6377313,Left,40.41303
1736440109.6377313,Right,37.76829
1736440109.7406688,Left,40.07824
1736440109.7406688,Right,38.18297
1736440109.8432355,Left,39.81702
1736440109.8432355,Right,38.49977
1736440109.9449959,Left,38.9433
1736440109.9449959,Right,38.91248
1736440110.0476828,Left,38.17433
1736440110.0476828,Right,38.32617
1736440110.1503515,Left,38.70629
1736440110.1503515,Right,36.26308
1736440110.2540772,Left,39.35601
1736440110.2543402,Right,34.23256
1736440110.3557413,Left,39.6824
1736440110.3557413,Right,33.1337
1736440110.458746,Left,40.20336
1736440110.458746,Right,34.31117
1736440110.5617862,Left,39.67992
1736440110.5617862,Right,36.67992
1736440110.664401,Left,38.81103
1736440110.664401,Right,38.27939
1736440110.767126,Left,39.41329
1736440110.767126,Right,38.31464
1736440110.8695774,Left,40.32841
1736440110.8695774,Right,38.18847
1736440111.011153,Left,41.22198
1736440111.011348,Right,38.66538
1736440111.113198,Left,41.52825
1736440111.115252,Right,40.13724
1736440111.2160923,Left,41.11509
1736440111.2160923,Right,41.06505
1736440111.3186617,Left,38.44271
1736440111.3201668,Right,42.36194
1736440111.4213452,Left,35.66899
1736440111.4213452,Right,43.48103
1736440111.5239568,Left,35.65031
1736440111.5239568,Right,43.99161
1736440111.626411,Left,37.01256
1736440111.626411,Right,43.42299
1736440111.728401,Left,38.81057
1736440111.728401,Right,42.14517
1736440111.8311596,Left,39.79137
1736440111.8311596,Right,41.80386
1736440111.9341645,Left,40.41596
1736440111.9351897,Right,42.91353
1736440112.0366313,Left,40.21097
1736440112.0381362,Right,44.71287
1736440112.1396468,Left,40.34833
1736440112.1396468,Right,46.21801
1736440112.2423434,Left,39.56288
1736440112.2423434,Right,46.94661
1736440112.3447456,Left,39.44694
1736440112.3447456,Right,711.0
1736440112.348769,Left,39.88211
1736440112.348769,Right,44.27815
1736440112.4533708,Left,38.74163
1736440112.4533708,Right,42.66695
1736440112.556001,Left,36.93393
1736440112.556001,Right,42.05254
1736440112.6584466,Left,36.16567
1736440112.6599517,Right,41.42358
1736440112.7611277,Left,36.01387
1736440112.7611277,Right,40.53868
1736440112.863808,Left,34.86655
1736440112.863808,Right,39.73442
1736440112.9661427,Left,33.00625
1736440112.9661427,Right,40.36986
1736440113.0686412,Left,31.78421
1736440113.0686412,Right,41.78231
1736440113.1714854,Left,31.69659
1736440113.1729896,Right,42.67363
1736440113.2734935,Left,31.96693
1736440113.2734935,Right,42.97288
1736440113.3761191,Left,33.15955
1736440113.3761191,Right,42.14137
1736440113.4797184,Left,35.69841
1736440113.4797184,Right,39.94163
1736440113.5819652,Left,38.50664
1736440113.5819652,Right,37.93862
1736440113.6846678,Left,39.26937
1736440113.6856723,Right,39.6545
1736440113.7882292,Left,37.66157
1736440113.7882292,Right,40.65136
1736440113.8905733,Left,37.12824
1736440113.8905733,Right,41.24487
1736440113.9923232,Left,36.49902
1736440113.9923232,Right,41.86701
1736440114.0952015,Left,36.65122
1736440114.0952015,Right,42.08071
1736440114.1971004,Left,37.6436
1736440114.1981225,Right,41.2038
1736440114.299262,Left,38.28401
1736440114.299262,Right,40.17458
1736440114.4019804,Left,38.40431
1736440114.4019804,Right,38.67003
1736440114.5070233,Left,38.13716
1736440114.5070233,Right,36.48935
1736440114.60916,Left,37.66501
1736440114.60916,Right,35.31379
1736440114.712392,Left,36.66794
1736440114.712392,Right,37.32519
1736440114.8152285,Left,35.66853
1736440114.9042804,Right,38.27566
1736440115.006453,Left,36.25836
1736440115.006453,Right,38.74497
1736440115.1087594,Left,38.4448
1736440115.1097822,Right,39.06099
1736440115.2121146,Left,39.35054
1736440115.2121146,Right,39.30488
1736440115.314968,Left,39.69177
1736440115.314968,Right,39.54451
1736440115.4183016,Left,40.78271
1736440115.4183016,Right,39.75251
1736440115.5208259,Left,41.11906
1736440115.5208259,Right,40.51503
1736440115.6236734,Left,40.21169
1736440115.6236734,Right,41.09047
1736440115.7263358,Left,38.32424
1736440115.7263358,Right,41.76207
1736440115.8292859,Left,38.4293
1736440115.8292859,Right,42.40688
1736440115.9316628,Left,39.97344
1736440115.9316628,Right,42.93423
1736440116.0341907,Left,40.01823
1736440116.0341907,Right,41.60295
1736440116.0371957,Left,38.08098
1736440116.0371957,Right,42.49407
1736440116.1428258,Left,36.99733
1736440116.1448348,Right,44.13187
1736440116.246142,Left,36.60213
1736440116.246142,Right,45.31352
1736440116.34897,Left,37.91147
1736440116.34897,Right,46.33881
1736440116.4513903,Left,41.63084
1736440116.4513903,Right,47.87324
1736440116.5535898,Left,43.29182
1736440116.5535898,Right,48.26177
1736440116.6558805,Left,41.41511
1736440116.6558805,Right,46.39397
1736440116.7581325,Left,39.23773
1736440116.7581325,Right,43.60557
1736440116.8609905,Left,37.99531
1736440116.8609905,Right,41.89892
1736440116.963015,Left,38.42618
1736440116.963015,Right,41.25241
1736440117.065658,Left,39.26279
1736440117.065658,Right,39.40209
1736440117.1683583,Left,38.90997
1736440117.1683583,Right,34.22535
1736440117.2717352,Left,37.2197
1736440117.2727568,Right,35.79941
1736440117.3739772,Left,34.48477
1736440117.3739772,Right,36.73659
1736440117.4761388,Left,33.07414
1736440117.4761388,Right,36.30887
1736440117.5786302,Left,35.35399
1736440117.5786302,Right,37.80668
1736440117.6819556,Left,36.8092
1736440117.6819556,Right,39.03256
1736440117.7884655,Left,37.4683
1736440117.7884655,Right,40.07226
1736440117.8910277,Left,38.28942
1736440117.8910277,Right,39.77543
1736440117.9941714,Left,39.21508
1736440117.9941714,Right,39.07186
1736440118.0988214,Left,40.31897
1736440118.0988214,Right,38.0262
1736440118.2022014,Left,42.39018
1736440118.2052126,Right,36.89702
1736440118.3075497,Left,42.91557
1736440118.3075497,Right,35.84821
1736440118.4122083,Left,42.23298
1736440118.4122083,Right,34.7656
1736440118.5146286,Left,38.76644
1736440118.5146286,Right,35.83505
1736440118.6176443,Left,35.16957
1736440118.6176443,Right,37.04618
1736440118.7209089,Left,35.87039
1736440118.7209089,Right,36.3111
1736440118.823785,Left,36.53313
1736440118.823785,Right,36.29558
1736440118.9257061,Left,37.2501
1736440118.9257061,Right,37.18284
1736440119.0294137,Left,39.03482
1736440119.0294137,Right,38.62699
1736440119.130983,Left,39.07987
1736440119.130983,Right,39.59305
1736440119.2337556,Left,38.30133
1736440119.2337556,Right,40.18585
1736440119.3363836,Left,36.7652
1736440119.3378875,Right,42.56351
1736440119.4389668,Left,34.81936
1736440119.4389668,Right,46.14445
1736440119.541439,Left,34.44675
1736440119.541439,Right,47.06295
1736440119.643136,Left,36.37091
1736440119.643136,Right,43.13718
1736440119.7450957,Left,38.89409
1736440119.7450957,Right,41.88202
1736440119.8472037,Left,40.11834
1736440119.8472037,Right,41.09872
1736440119.949812,Left,40.07942
1736440119.949812,Right,41.45679
1736440120.052718,Left,40.06041
1736440120.054838,Right,42.78808
1736440120.1561425,Left,41.16925
1736440120.1561425,Right,43.54124
1736440120.2585523,Left,40.60949
1736440120.2585523,Right,44.02024
1736440120.3607092,Left,41.79749
1736440120.3627133,Right,45.03799
1736440120.463634,Left,43.24658
1736440120.463634,Right,47.14202
1736440120.5669436,Left,41.6783
1736440120.5669436,Right,48.70953
1736440120.669259,Left,38.08723
1736440120.669259,Right,47.74438
1736440120.77268,Left,35.51217
1736440120.77268,Right,45.17825
1736440120.874674,Left,35.21215
1736440120.874674,Right,41.29001
1736440120.977294,Left,34.98965
1736440120.977294,Right,38.79836
