Unix Timestamp,Position,Value [kg]
1736440682.1675026,Right,26.6623
1736440682.2701783,Left,31.58749
1736440682.2701783,Right,25.46243
1736440682.372808,Left,31.78681
1736440682.3749259,Right,25.20229
1736440682.4758804,Left,31.40151
1736440682.4758804,Right,26.82122
1736440682.5782366,Left,31.76442
1736440682.579255,Right,29.60367
1736440682.6811302,Left,32.00254
1736440682.6811302,Right,32.04716
1736440682.7838252,Left,30.9836
1736440682.7838252,Right,33.93809
1736440682.7838252,Left,-32.38771
1736440682.792015,Right,35.50625
1736440682.894041,Right,36.41238
1736440682.9963524,Left,32.64328
1736440682.9963524,Right,37.36777
1736440683.0991738,Left,33.60591
1736440683.0991738,Right,37.73187
1736440683.2016492,Left,34.64816
1736440683.2016492,Right,39.13593
1736440683.3046412,Left,35.58475
1736440683.3046412,Right,39.22057
1736440683.4067972,Left,35.39676
1736440683.4067972,Right,38.77085
1736440683.5097108,Left,34.14633
1736440683.5112364,Right,39.083
1736440683.6138344,Left,33.09907
1736440683.6168852,Right,39.65856
1736440683.7181132,Left,34.38328
1736440683.7181132,Right,38.94333
1736440683.82223,Left,35.57746
1736440683.82223,Right,37.63891
1736440683.9264758,Left,36.80334
1736440683.9264758,Right,35.92158
1736440684.0283344,Left,37.92696
1736440684.0335639,Right,34.86728
1736440684.1364827,Left,38.6227
1736440684.1364827,Right,33.36056
1736440684.2389457,Left,40.02161
1736440684.2389457,Right,31.7077
1736440684.3409426,Left,41.31519
1736440684.3409426,Right,30.2961
1736440684.4436157,Left,43.01829
1736440684.4436157,Right,24.97622
1736440684.5461462,Left,46.22978
1736440684.5461462,Right,20.66695
1736440684.6488554,Left,50.21136
1736440684.6488554,Right,17.04415
1736440684.7515361,Left,53.1697
1736440684.753555,Right,16.56974
1736440684.8539853,Left,53.21078
1736440684.8539853,Right,18.99437
1736440684.9564445,Left,51.3715
1736440684.9564445,Right,23.8526
1736440685.059179,Left,41.71892
1736440685.059179,Right,30.17806
1736440685.1615498,Left,35.5526
1736440685.1625679,Right,36.05837
1736440685.264149,Left,31.87606
1736440685.264149,Right,40.62234
1736440685.366195,Left,30.37098
1736440685.366195,Right,43.63636
1736440685.4692817,Left,30.25134
1736440685.4692817,Right,44.2376
1736440685.572024,Left,31.48835
1736440685.572024,Right,43.9586
1736440685.6749148,Left,33.5207
1736440685.6749148,Right,40.5544
1736440685.7769911,Left,36.66638
1736440685.7769911,Right,37.43695
1736440685.8795836,Left,40.27587
1736440685.8795836,Right,34.78375
1736440685.9817019,Left,42.39135
1736440685.9817019,Right,33.37759
1736440686.086264,Left,42.84038
1736440686.086264,Right,33.14464
1736440686.1897163,Left,41.64685
1736440686.1897163,Right,33.35597
1736440686.2928128,Left,40.05325
1736440686.2928128,Right,34.31844
1736440686.3964362,Left,38.53007
1736440686.3964362,Right,35.34399
1736440686.498944,Left,37.32964
1736440686.498944,Right,36.37759
1736440686.6012678,Left,36.79703
1736440686.6012678,Right,37.23937
1736440686.7039104,Left,36.84937
1736440686.7039104,Right,37.6114
1736440686.80701,Left,37.3092
1736440686.8090293,Right,37.45883
1736440686.9099236,Left,37.13683
1736440686.9099236,Right,37.30429
1736440687.0123277,Left,36.63357
1736440687.0123277,Right,38.44749
1736440687.114878,Left,36.96875
1736440687.114878,Right,38.93403
1736440687.2185092,Left,37.53522
1736440687.2185092,Right,38.49741
1736440687.3214016,Left,37.38673
1736440687.3233204,Right,37.86734
1736440687.4243298,Left,37.30836
1736440687.4243298,Right,37.49197
1736440687.5270858,Left,37.53528
1736440687.5270858,Right,37.26243
1736440687.6296597,Left,37.4103
1736440687.6296597,Right,37.52021
1736440687.7328014,Left,36.98587
1736440687.7328014,Right,37.84933
1736440687.835151,Left,36.35536
1736440687.8364167,Right,38.26885
1736440687.9380538,Left,35.50709
1736440687.9380538,Right,39.25208
1736440688.0407236,Left,34.53294
1736440688.0407236,Right,40.93344
1736440688.1431386,Left,34.03176
1736440688.1431386,Right,40.81061
1736440688.2455263,Left,34.40887
1736440688.2455263,Right,40.31857
1736440688.347817,Left,35.01328
1736440688.349338,Right,39.48077
1736440688.4510448,Left,36.10168
1736440688.4510448,Right,38.05627
1736440688.5544598,Left,37.95105
1736440688.5544598,Right,36.25765
1736440688.657239,Left,39.42306
1736440688.6599321,Right,34.73704
1736440688.7615676,Left,39.86551
1736440688.7615676,Right,34.05267
1736440688.8642414,Left,39.03587
1736440688.866096,Right,34.37261
1736440688.966709,Left,36.49297
1736440688.966709,Right,35.4454
1736440689.0694604,Left,34.75674
1736440689.0694604,Right,36.15146
1736440689.1725225,Left,34.09999
1736440689.1725225,Right,36.25352
1736440689.2758312,Left,34.1216
1736440689.2758312,Right,39.94576
1736440689.3780308,Left,36.02265
1736440689.3780308,Right,40.74012
1736440689.4812374,Left,36.34344
1736440689.486401,Right,40.39705
1736440689.5934193,Left,35.36909
1736440689.5934193,Right,38.82142
1736440689.6953337,Left,34.81213
1736440689.6953337,Right,37.98677
1736440689.7979877,Left,36.13429
1736440689.7979877,Right,38.62051
1736440689.9005713,Left,38.05604
1736440689.9005713,Right,38.69669
1736440690.0028305,Left,37.76123
1736440690.0028305,Right,37.09394
1736440690.1064627,Left,37.66437
1736440690.108646,Right,35.43852
1736440690.2096348,Left,38.21989
